cell	tf
GMP-5	BACH1_HUMAN.H11MO.0.A
GMP-5	ETV4_HUMAN.H11MO.0.B
GMP-5	GATA4_HUMAN.H11MO.0.A
GMP-5	PRDM1_HUMAN.H11MO.0.A
GMP-5	STAT2_HUMAN.H11MO.0.A
GMP-5	FLI1_HUMAN.H11MO.1.A
GMP-5	RUNX3_HUMAN.H11MO.0.A
GMP-5	ELF2_HUMAN.H11MO.0.C
GMP-5	ETV6_HUMAN.H11MO.0.D
GMP-5	IRF2_HUMAN.H11MO.0.A
GMP-5	ETS2_HUMAN.H11MO.0.B
GMP-5	GATA6_HUMAN.H11MO.0.A
GMP-5	IRF7_HUMAN.H11MO.0.C
HSC-1	ID4_HUMAN.H11MO.0.D
HSC-1	BCL6_HUMAN.H11MO.0.A
HSC-1	HEN1_HUMAN.H11MO.0.C
HSC-1	IRF5_HUMAN.H11MO.0.D
HSC-1	KLF4_HUMAN.H11MO.0.A
HSC-1	SNAI1_HUMAN.H11MO.0.C
HSC-1	STAT6_HUMAN.H11MO.0.B
HSC-1	ETV4_HUMAN.H11MO.0.B
HSC-1	RUNX3_HUMAN.H11MO.0.A
HSC-1	ATF4_HUMAN.H11MO.0.A
HSC-1	IRF8_HUMAN.H11MO.0.B
HSC-1	ETS2_HUMAN.H11MO.0.B
HSC-1	CEBPE_HUMAN.H11MO.0.A
HSC-1	MAFG_HUMAN.H11MO.1.A
HSC-1	HLF_HUMAN.H11MO.0.C
HSC-1	MESP1_HUMAN.H11MO.0.D
HSC-1	DBP_HUMAN.H11MO.0.B
HSC-1	NF2L2_HUMAN.H11MO.0.A
HSC-1	MAFB_HUMAN.H11MO.0.B
HSC-1	MYOG_HUMAN.H11MO.0.B
HSC-1	GABPA_HUMAN.H11MO.0.A
HSC-1	HXC13_HUMAN.H11MO.0.D
HSC-1	CTCFL_HUMAN.H11MO.0.A
HSC-1	ASCL2_HUMAN.H11MO.0.D
HSC-1	TFAP4_HUMAN.H11MO.0.A
HSC-1	CEBPG_HUMAN.H11MO.0.B
HSC-1	BC11A_HUMAN.H11MO.0.A
HSC-1	SPIB_HUMAN.H11MO.0.A
HSC-1	ELF2_HUMAN.H11MO.0.C
HSC-1	NFIL3_HUMAN.H11MO.0.D
HSC-1	CTCF_HUMAN.H11MO.0.A
HSC-1	HTF4_HUMAN.H11MO.0.A
HSC-1	MYF6_HUMAN.H11MO.0.C
HSC-1	STAT1_HUMAN.H11MO.1.A
HSC-1	GFI1_HUMAN.H11MO.0.C
HSC-1	GATA6_HUMAN.H11MO.0.A
HSC-1	GATA4_HUMAN.H11MO.0.A
HSC-1	ASCL1_HUMAN.H11MO.0.A
